Data__|;Data__|__Id;Data__|__CoinName;Data__|__Name;Data__|__Symbol;;Data__|__FullName;Data__|__Algorithm;Data__|__ProofType;Data__|__FullyPremined;Data__|__TotalCoinSupply;Data__|__PreMinedValue;Data__|__TotalCoinsFreeFloat;Data__|__SortOrder;Data__|__Sponsored;Type
KTK;5311;KryptCoin;KTK;KTK;;KryptCoin (KTK);Scrypt;PoS;0;17000000;N/A;N/A;280;False;
FAIR;5313;FairCoin;FAIR;FAIR;;FairCoin (FAIR);Groestl;PoW/PoS;0;0;N/A;N/A;282;False;
RBY;5316;RubyCoin;RBY;RBY;;RubyCoin (RBY);Scrypt;PoS;0;0;N/A;N/A;285;False;
PTC;5317;PesetaCoin;PTC;PTC;;PesetaCoin (PTC);Scrypt;PoW;0;166386000;N/A;N/A;286;False;
KORE;5318;Kore;KORE;KORE;;Kore (KORE);X13;PoW/PoS;0;13200000;N/A;N/A;287;False;
WBB;5319;Wild Beast Coin;WBB;WBB;;Wild Beast Coin (WBB);Scrypt;PoW;0;2628000;N/A;N/A;288;False;
SSD;5320;Sonic Screw Driver Coin;SSD;SSD;;Sonic Screw Driver Coin (SSD);SHA256;PoW/PoS;0;0;N/A;N/A;289;False;
XTC;5321;TileCoin;XTC;XTC;;TileCoin (XTC);N/A;N/A;0;100000000;N/A;N/A;290;False;
GRID;5323;GridPay;GRID;GRID;;GridPay (GRID);N/A;N/A;0;0;N/A;N/A;292;False;
FLO;5325;FlorinCoin;FLO;FLO;;FlorinCoin (FLO);Scrypt;PoW;0;160000000;N/A;N/A;293;False;
MMXIV;5326;MaieutiCoin;MMXIV;MMXIV;;MaieutiCoin (MMXIV);SHA256;PoS;0;2014;N/A;N/A;294;False;
8BIT;5327;8BIT Coin;8BIT;8BIT;;8BIT Coin (8BIT);Scrypt;PoW/PoS;0;0;N/A;N/A;295;False;
STV;5328;Sativa Coin;STV;STV;;Sativa Coin (STV);X13;PoW/PoS;0;10000000;N/A;N/A;296;False;
EBS;5329;EbolaShare;EBS;EBS;;EbolaShare (EBS);N/A;PoS;0;2100000;N/A;N/A;297;False;
AM;5330;AeroMe;AM;AM;;AeroMe (AM);X13;PoW/PoS;0;12000000;N/A;N/A;298;False;
XMG;5331;Coin Magi;XMG;XMG;;Coin Magi (XMG);M7M;PoW/PoM/PoSII;0;0;N/A;N/A;299;False;
JPC;5333;JackPotCoin;JPC;JPC;;JackPotCoin (JPC);SHA3;PoW/PoS;0;0;N/A;N/A;301;False;
NKT;5334;NakomotoDark;NKT;NKT;;NakomotoDark (NKT);X11;PoW/PoS;0;0;N/A;N/A;302;False;
J;5335;JoinCoin;J;J;;JoinCoin (J);Multiple;PoW;0;2800000;N/A;N/A;303;False;
DTC;5337;DayTrader Coin;DTC;DTC;;DayTrader Coin (DTC);X13;PoW/PoS;0;1000000;N/A;N/A;305;False;
MTR;5340;MasterTraderCoin;MTR;MTR;;MasterTraderCoin (MTR);X11;PoW/PoS;0;10110000;N/A;N/A;308;False;
TRI;5341;Triangles Coin;TRI;TRI;;Triangles Coin (TRI);X13;PoW/PoS;0;120000;N/A;N/A;309;False;
SWARM;5342;SwarmCoin;SWARM;SWARM;;SwarmCoin (SWARM);N/A;N/A;1;100000000;N/A;N/A;310;False;
BBR;5343;Boolberry;BBR;BBR;;Boolberry (BBR);X11;PoW;0;18450000;N/A;N/A;311;False;
BTCRY;5344;BitCrystal;BTCRY;BTCRY;;BitCrystal (BTCRY);N/A;N/A;0;0;N/A;N/A;312;False;
XPB;5346;Pebble Coin;XPB;XPB;;Pebble Coin (XPB);CryptoNight;PoW;0;0;N/A;N/A;314;False;
XDQ;5347;Dirac Coin;XDQ;XDQ;;Dirac Coin (XDQ);Blake;PoW;0;2272800;N/A;N/A;315;False;
SMAC;5350;Social Media Coin;SMAC;SMAC;;Social Media Coin (SMAC);X11;PoW/PoS;0;0;N/A;N/A;318;False;
TRK;5351;TruckCoin;TRK;TRK;;TruckCoin (TRK);X11;PoW/PoS;0;1000000;N/A;N/A;319;False;
U;5352;Ucoin;U;U;;Ucoin (U);X11;PoS;0;20000000;N/A;N/A;320;False;
UIS;5353;Unitus;UIS;UIS;;Unitus (UIS);Multiple;PoW;0;0;N/A;N/A;321;False;
CYP;5354;CypherPunkCoin;CYP;CYP;;CypherPunkCoin (CYP);QuBit;PoW;0;0;N/A;N/A;322;False;
ASN;5356;Ascension Coin;ASN;ASN;;Ascension Coin (ASN);QuBit;PoW/PoS;0;0;N/A;N/A;324;False;
OC;5357;OrangeCoin;OC;OC;;OrangeCoin (OC);Scrypt;PoW/PoS;0;200000000;N/A;N/A;325;False;
GSM;5358;GSM Coin;GSM;GSM;;GSM Coin (GSM);X11;PoW/PoS;0;1800000;N/A;N/A;326;False;
FSC2;5359;FriendshipCoin;FSC2;FSC2;;FriendshipCoin (FSC2);Scrypt;PoW/PoS;0;0;N/A;N/A;327;False;
NXTTY;5360;NXTTY;NXTTY;NXTTY;;NXTTY (NXTTY);N/A;N/A;0;0;N/A;N/A;328;False;
QBK;5361;QuBuck Coin;QBK;QBK;;QuBuck Coin (QBK);X13;PoS/PoB;0;0;N/A;N/A;329;False;
MARYJ;5363;MaryJane Coin;MARYJ;MARYJ;;MaryJane Coin (MARYJ);X15;PoW/PoS;0;0;N/A;N/A;331;False;
OMC;5365;OmniCron;OMC;OMC;;OmniCron (OMC);Scrypt;PoW;0;3371337;N/A;N/A;333;False;
GIG;5366;GigCoin;GIG;GIG;;GigCoin (GIG);X11;PoW;0;0;N/A;N/A;334;False;
CC;5367;CyberCoin;CC;CC;;CyberCoin (CC);Scrypt;PoW/PoS;0;0;N/A;N/A;335;False;
BITS;5368;BitstarCoin;BITS;BITS;;BitstarCoin (BITS);Scrypt;PoW/PoS;0;54256119;N/A;N/A;336;False;
LTBC;5369;LTBCoin;LTBC;LTBC;;LTBCoin (LTBC);N/A;PoP/PoV/PoQ;0;0;N/A;N/A;337;False;
NEOS;5370;NeosCoin;NEOS;NEOS;;NeosCoin (NEOS);SHA256;PoS;0;21000000;N/A;N/A;338;False;
HYPER;5371;HyperCoin;HYPER;HYPER;;HyperCoin (HYPER);Scrypt;PoW/PoS;0;0;N/A;N/A;339;False;
VTR;5372;Vtorrent;VTR;VTR;;Vtorrent (VTR);Scrypt;PoW/PoS;0;20000000;N/A;N/A;340;False;
METAL;5373;MetalCoin;METAL;METAL;;MetalCoin (METAL);Scrypt;PoW;0;0;N/A;N/A;341;False;
XG;5376;XG Sports;XG;XG;;XG Sports (XG);XG Hash;PoW/PoS;0;0;N/A;N/A;344;False;
CHILD;5377;ChildCoin;CHILD;CHILD;;ChildCoin (CHILD);X11;PoW;0;2000000;N/A;N/A;345;False;
BOOM;5378;BOOM Coin;BOOM;BOOM;;BOOM Coin (BOOM);X13;PoW/PoS;0;0;N/A;N/A;346;False;
MINE;5379;Instamine Nuggets;MINE;MINE;;Instamine Nuggets (MINE);Scrypt;PoW;0;21649485;N/A;N/A;347;False;
ROS;5380;ROS Coin;ROS;ROS;;ROS Coin (ROS);X11;PoW/PoS;0;0;N/A;N/A;348;False;
UNAT;5381;Unattanium;UNAT;UNAT;;Unattanium (UNAT);SHA256;PoW;0;0;N/A;N/A;349;False;
SLM;5382;SlimCoin;SLM;SLM;;SlimCoin (SLM);N/A;PoB;0;0;N/A;N/A;350;False;
GAIA;5383;GAIA Platform;GAIA;GAIA;;GAIA Platform (GAIA);X11;PoS;0;24000000;N/A;N/A;351;False;
TRUST;5384;TrustPlus;TRUST;TRUST;;TrustPlus (TRUST);X11;PoW/PoS;0;0;N/A;N/A;352;False;
FCN;5385;FantomCoin ;FCN;FCN;;FantomCoin  (FCN);CryptoNight;PoW;0;18400000;N/A;N/A;353;False;
CURE;5387;Curecoin;CURE;CURE;;Curecoin (CURE);Scrypt;PoW;0;0;N/A;N/A;355;False;
GMC;5388;Gridmaster;GMC;GMC;;Gridmaster (GMC);Scrypt;PoW;0;84000000;N/A;N/A;356;False;
MMC;5389;MemoryCoin;MMC;MMC;;MemoryCoin (MMC);Multiple;PoW;0;10000000;N/A;N/A;357;False;
XBC;5391;BitcoinPlus;XBC;XBC;;BitcoinPlus (XBC);Scrypt;PoW/PoS;0;0;N/A;N/A;359;False;
CYC;5392;ConSpiracy Coin ;CYC;CYC;;ConSpiracy Coin  (CYC);X11;PoW;0;33000000;N/A;N/A;360;False;
OCTO;5393;OctoCoin;OCTO;OCTO;;OctoCoin (OCTO);N/A;N/A;1;88000000;N/A;N/A;361;False;
MSC;5394;MasterCoin;MSC;MSC;;MasterCoin (MSC);Scrypt;PoW;1;619478;N/A;N/A;362;False;
EGG;5395;EggCoin;EGG;EGG;;EggCoin (EGG);Scrypt;PoW/PoS;0;3891;N/A;N/A;363;False;
C2;5396;Coin.2;C2;C2;;Coin.2 (C2);Scrypt;PoW/PoS;0;100000000;N/A;N/A;364;False;
GSX;5397;GlowShares;GSX;GSX;;GlowShares (GSX);N/A;PoS;0;0;N/A;N/A;365;False;
CAM;5398;Camcoin;CAM;CAM;;Camcoin (CAM);X11;PoW/PoS;0;10000000;N/A;N/A;366;False;
XQN;5400;Quotient;XQN;XQN;;Quotient (XQN);Scrypt;PoW/PoS;0;0;N/A;N/A;368;False;
ICASH;5401;ICASH;ICASH;ICASH;;ICASH (ICASH);X11;PoW;0;1000000;N/A;N/A;369;False;
SOON;5403;SoonCoin;SOON;SOON;;SoonCoin (SOON);SHA256;PoW;0;21000000;N/A;N/A;371;False;
EVENT;5405;Event Token;EVENT;EVENT;;Event Token (EVENT);Scrypt;PoW/PoS;0;0;N/A;N/A;373;False;
VIOR;5407;ViorCoin;VIOR;VIOR;;ViorCoin (VIOR);Scrypt;PoW/PoS;0;0;N/A;N/A;375;False;
XCO;5408;XCoin;XCO;XCO;;XCoin (XCO);SHA256;PoW/PoS;0;0;N/A;N/A;376;False;
VMC;5409;VirtualMining Coin;VMC;VMC;;VirtualMining Coin (VMC);Scrypt-n;PoW;0;1000000;N/A;N/A;377;False;
MRS;5410;MarsCoin;MRS;MRS;;MarsCoin (MRS);X11;PoW;0;33000000;N/A;N/A;378;False;
VIRAL;6088;Viral Coin;VIRAL;VIRAL;;Viral Coin (VIRAL);Scrypt;PoS;0;0;N/A;N/A;379;False;
EQM;6093;Equilibrium Coin;EQM;EQM;;Equilibrium Coin (EQM);SHA256;PoW/PoS;0;0;N/A;N/A;380;False;
ISL;6094;IslaCoin;ISL;ISL;;IslaCoin (ISL);X11;PoW/PoS;0;0;N/A;N/A;381;False;
QSLV;6095;Quicksilver coin;QSLV;QSLV;;Quicksilver coin (QSLV);X11;PoW;0;33000000;N/A;N/A;382;False;
XWT;6096;World Trade Funds;XWT;XWT;;World Trade Funds (XWT);X15;PoW/PoS;0;1000000;N/A;N/A;383;False;
XNA;6097;DeOxyRibose;XNA;XNA;;DeOxyRibose (XNA);X11;PoS;0;0;N/A;N/A;384;False;
RDN;6098;RadonPay;RDN;RDN;;RadonPay (RDN);N/A;PoS;0;0;N/A;N/A;385;False;
SKB;6099;SkullBuzz;SKB;SKB;;SkullBuzz (SKB);SHA256;PoS;0;0;N/A;N/A;386;False;
BSTY;6100;GlobalBoost;BSTY;BSTY;;GlobalBoost (BSTY);yescript;PoW;0;0;N/A;N/A;387;False;
FCS;6101;CryptoFocus;FCS;FCS;;CryptoFocus (FCS);X11;PoW/PoS;0;0;N/A;N/A;388;False;
GAM;6102;Gambit coin;GAM;GAM;;Gambit coin (GAM);Scrypt;PoW/PoS;0;0;N/A;N/A;389;False;
NXS;6103;Nexus;NXS;NXS;;Nexus (NXS);SHA3;PoW/nPoS;0;78000000;N/A;N/A;390;False;
TWLV;6105;Twelve Coin;TWLV;TWLV;;Twelve Coin (TWLV);T-Inside;PoW/PoS;0;0;N/A;N/A;392;False;
EAGS;6106;EagsCoin;EAGS;EAGS;;EagsCoin (EAGS);X11;PoW/PoS;0;20445500;N/A;N/A;393;False;
MWC;6107;MultiWallet Coin;MWC;MWC;;MultiWallet Coin (MWC);X11;PoW/PoS;0;0;N/A;N/A;394;False;
MARS;6109;MarsCoin ;MARS;MARS;;MarsCoin  (MARS);X11;PoW;0;33000000;N/A;N/A;396;False;
XMS;6110;Megastake;XMS;XMS;;Megastake (XMS);X11;PoW/PoS;0;0;N/A;N/A;397;False;
SPHR;6111;Sphere Coin;SPHR;SPHR;;Sphere Coin (SPHR);Scrypt;PoW/PoS;0;0;N/A;N/A;398;False;
SIGU;6112;Singular;SIGU;SIGU;;Singular (SIGU);Scrypt;PoW/PoS;0;0;N/A;N/A;399;False;
BTX*;6113;BitcoinTX;BTX*;BTX*;;BitcoinTX (BTX*);X11;PoS;0;0;N/A;N/A;400;False;
DCC;6114;DarkCrave;DCC;DCC;;DarkCrave (DCC);SHA256;PoW/PoS;0;277500;N/A;N/A;401;False;
M1;6115;SupplyShock;M1;M1;;SupplyShock (M1);X13;PoW/PoS;0;0;N/A;N/A;402;False;
DB;6116;DarkBit;DB;DB;;DarkBit (DB);Scrypt;PoW/PoS;0;0;N/A;N/A;403;False;
CTO;6117;Crypto;CTO;CTO;;Crypto (CTO);Lyra2RE;PoW;0;65789100;N/A;N/A;404;False;
LUX*;6341;BitLux;LUX*;LUX*;;BitLux (LUX*);X11;PoW/PoS;0;0;N/A;N/A;406;False;
FUTC;6343;FutCoin;FUTC;FUTC;;FutCoin (FUTC);X13;PoW/PoS;0;0;N/A;N/A;407;False;
GLOBE;6393;Global;GLOBE;GLOBE;;Global (GLOBE);N/A;PoS;0;90000000;N/A;N/A;408;False;
TAM;6411;TamaGucci;TAM;TAM;;TamaGucci (TAM);Scrypt;PoW/PoS/PoC;0;5300000;N/A;N/A;409;False;
MRP;6412;MorpheusCoin;MRP;MRP;;MorpheusCoin (MRP);X11;PoW;0;3400000;N/A;N/A;410;False;
CREVA;6451;Creva Coin;CREVA;CREVA;;Creva Coin (CREVA);X11;N/A;0;0;N/A;N/A;411;False;
NANAS;6453;BananaBits;NANAS;NANAS;;BananaBits (NANAS);Scrypt;PoW/PoS;0;0;N/A;N/A;413;False;
LOG;6454;Wood Coin;LOG;LOG;;Wood Coin (LOG);N/A;PoW;0;27625814;N/A;N/A;414;False;
XCE;6455;Cerium;XCE;XCE;;Cerium (XCE);SHA256;PoW/PoS;0;2307925;N/A;N/A;415;False;
ACP;6476;Anarchists Prime;ACP;ACP;;Anarchists Prime (ACP);SHA256;PoW;0;53760000;N/A;N/A;416;False;
DRZ;7480;Droidz;DRZ;DRZ;;Droidz (DRZ);QUAIT;PoW/PoS;0;5060000;N/A;N/A;417;False;
BUCKS*;7481;GorillaBucks;BUCKS*;BUCKS*;;GorillaBucks (BUCKS*);N/A;PoS;0;0;N/A;N/A;418;False;
BSC;7482;BowsCoin;BSC;BSC;;BowsCoin (BSC);X11;PoW;0;21000000;N/A;N/A;419;False;
DRKT;7483;DarkTron;DRKT;DRKT;;DarkTron (DRKT);SHA256;PoW/PoS;0;1500000;N/A;N/A;420;False;
CIRC;7484;CryptoCircuits;CIRC;CIRC;;CryptoCircuits (CIRC);vDPOS;PoS;0;0;N/A;N/A;421;False;
NKA;7559;IncaKoin;NKA;NKA;;IncaKoin (NKA);SHA256;PoW/PoS;0;190000000;N/A;N/A;422;False;
VERSA;7562;Versa Token;VERSA;VERSA;;Versa Token (VERSA);N/A;PoS;0;0;N/A;N/A;423;False;
EPY;7564;Empyrean;EPY;EPY;;Empyrean (EPY);Scrypt;PoW;0;100000;N/A;N/A;424;False;
SQL;7565;Squall Coin;SQL;SQL;;Squall Coin (SQL);X11;PoS;0;0;N/A;N/A;425;False;
POLY;7567;PolyBit;POLY;POLY;;PolyBit (POLY);Scrypt;PoW;0;150000000;N/A;N/A;426;False;
PIGGY;7577;Piggy Coin;PIGGY;PIGGY;;Piggy Coin (PIGGY);X11;PoW/PoS;0;0;N/A;N/A;427;False;
CHA;7580;Charity Coin;CHA;CHA;;Charity Coin (CHA);Scrypt;PoW;0;500000;N/A;N/A;428;False;
MIL;7581;Milllionaire Coin;MIL;MIL;;Milllionaire Coin (MIL);X11;PoW/PoS;0;0;N/A;N/A;429;False;
CRW;7586;Crown Coin;CRW;CRW;;Crown Coin (CRW);SHA256;PoW;0;42000000;N/A;N/A;430;False;
GEN;7588;Genstake;GEN;GEN;;Genstake (GEN);Scrypt;PoW/PoS;0;0;N/A;N/A;431;False;
XPH;7590;PharmaCoin;XPH;XPH;;PharmaCoin (XPH);N/A;N/A;0;0;N/A;N/A;432;False;
GRM;7592;GridMaster;GRM;GRM;;GridMaster (GRM);N/A;N/A;0;0;N/A;N/A;433;False;
QTZ;7595;Quartz;QTZ;QTZ;;Quartz (QTZ);SHA256;PoW/PoS;0;0;N/A;N/A;434;False;
ARB;7599;Arbit Coin;ARB;ARB;;Arbit Coin (ARB);N/A;PoW/PoS;0;0;N/A;N/A;435;False;
LTS;7600;Litestar Coin;LTS;LTS;;Litestar Coin (LTS);N/A;PoW/PoS;0;120000000;N/A;N/A;436;False;
SPC;7624;SpinCoin;SPC;SPC;;SpinCoin (SPC);NIST5;PoW/PoS;0;0;N/A;N/A;437;False;
GP;7625;GoldPieces;GP;GP;;GoldPieces (GP);X11;PoW/PoS;0;0;N/A;N/A;438;False;
BITZ;7626;Bitz Coin;BITZ;BITZ;;Bitz Coin (BITZ);N/A;PoS;0;0;N/A;N/A;439;False;
DUB;7627;DubCoin;DUB;DUB;;DubCoin (DUB);X15;PoW/PoS;0;0;N/A;N/A;440;False;
GRAV;7634;Graviton;GRAV;GRAV;;Graviton (GRAV);SHA256;PoW/PoS;0;0;N/A;N/A;441;False;
BOB;7635;Bob Coin;BOB;BOB;;Bob Coin (BOB);Scrypt;PoW;0;21000000;N/A;N/A;442;False;
MCN;7636;MonetaVerde;MCN;MCN;;MonetaVerde (MCN);CryptoNight;PoW;0;0;N/A;N/A;443;False;
QCN;7650;Quazar Coin;QCN;QCN;;Quazar Coin (QCN);CryptoNight;PoW;0;0;N/A;N/A;444;False;
HEDG;7653;Hedgecoin;HEDG;HEDG;;Hedgecoin (HEDG);X13;PoW;0;33000000;N/A;N/A;445;False;
XSEED;8683;BitSeeds;XSEED;XSEED;;BitSeeds (XSEED);SHA256;PoW/PoS;0;0;N/A;N/A;447;False;
CRE;8692;Credits;CRE;CRE;;Credits (CRE);SHA256;PoW/PoD;0;30000000;N/A;N/A;448;False;
AXIOM;8693;Axiom Coin;AXIOM;AXIOM;;Axiom Coin (AXIOM);N/A;PoW/PoS;0;0;N/A;N/A;449;False;
RBT;8695;Rimbit;RBT;RBT;;Rimbit (RBT);N/A;N/A;0;0;N/A;N/A;451;False;
CHIP;8696;Chip;CHIP;CHIP;;Chip (CHIP);X11;PoW;0;0;N/A;N/A;452;False;
GRAM;8717;Gram Coin;GRAM;GRAM;;Gram Coin (GRAM);N/A;PoW;0;0;N/A;N/A;454;False;
SPRTS;8761;Sprouts;SPRTS;SPRTS;;Sprouts (SPRTS);SHA256;PoW/PoS;0;0;N/A;N/A;456;False;
BTQ;8763;BitQuark;BTQ;BTQ;;BitQuark (BTQ);Multiple;PoW;0;0;N/A;N/A;458;False;
PKB;8764;ParkByte;PKB;PKB;;ParkByte (PKB);SHA256;PoW/PoS;0;25000000;N/A;N/A;459;False;
SNRG;8825;Synergy;SNRG;SNRG;;Synergy (SNRG);X11;PoW/PoS;0;0;N/A;N/A;461;False;
GHOUL;8832;Ghoul Coin;GHOUL;GHOUL;;Ghoul Coin (GHOUL);N/A;PoW/PoS;0;0;N/A;N/A;462;False;
HNC;8846;Hellenic Coin;HNC;HNC;;Hellenic Coin (HNC);Scrypt;PoW;0;100000000;N/A;N/A;463;False;
DIGS;12192;Diggits;DIGS;DIGS;;Diggits (DIGS);Scrypt;PoS;1;100000000;N/A;N/A;464;False;
GCR;12217;Global Currency Reserve;GCR;GCR;;Global Currency Reserve (GCR);N/A;PoS;0;0;N/A;N/A;466;False;
CON;12985;Paycon;CON_;CON;;Paycon (CON_);X13;PoW/PoS;0;50000000;N/A;N/A;469;False;
TX;13045;Transfer;TX;TX;;Transfer (TX);X11;PoW/PoS;0;0;N/A;N/A;471;False;
GRS;13070;Groestlcoin ;GRS;GRS;;Groestlcoin  (GRS);Groestl;PoW;0;105000000;N/A;N/A;472;False;
SC;13072;Siacoin;SC;SC;;Siacoin (SC);Blake2b;PoW;0;0;N/A;N/A;473;False;
CLV;13074;CleverCoin;CLV;CLV;;CleverCoin (CLV);N/A;PoS/PoW;0;0;N/A;N/A;474;False;
FCT;13280;Factoids;FCT;FCT;;Factoids (FCT);N/A;N/A;1;8753873;N/A;N/A;475;False;
LYB;13281;LyraBar;LYB;LYB;;LyraBar (LYB);Lyra2RE;PoW/PoS;0;0;N/A;N/A;476;False;
OBITS;15323;Obits Coin;OBITS;OBITS;;Obits Coin (OBITS);N/A;N/A;1;18276898;N/A;N/A;481;False;
RADS;15870;Radium;RADS;RADS;;Radium (RADS);N/A;PoS;0;9000000;N/A;N/A;483;False;
BLITZ;15879;BlitzCoin;BLITZ;BLITZ;;BlitzCoin (BLITZ);X13;PoS;0;3852156;N/A;N/A;485;False;
HIRE*;15882;BitHIRE;HIRE*;HIRE*;;BitHIRE (HIRE*);Scrypt;PoS;0;42000000;N/A;N/A;486;False;
EGC;15885;EverGreenCoin;EGC;EGC;;EverGreenCoin (EGC);X15;PoW/PoS;0;26298000;N/A;N/A;487;False;
MND;15888;MindCoin;MND;MND;;MindCoin (MND);X11;PoW;0;16000000;N/A;N/A;488;False;
I0C;16123;I0coin;I0C;I0C;;I0coin (I0C);SHA256;PoW;0;21000000;N/A;N/A;489;False;
BTA;16125;Bata;BTA;BTA;;Bata (BTA);Scrypt;PoW;0;5000000;N/A;N/A;490;False;
KARM;16127;Karmacoin;KARM;KARM;;Karmacoin (KARM);Scrypt;PoW;0;92;N/A;N/A;491;False;
DCR;16713;Decred;DCR;DCR;;Decred (DCR);BLAKE256;PoW/PoS;0;21000000;N/A;N/A;492;False;
NAS2;16717;Nas2Coin;NAS2;NAS2;;Nas2Coin (NAS2);N/A;PoS;0;200000000;N/A;N/A;493;False;
PAK;17006;Pakcoin;PAK;PAK;;Pakcoin (PAK);Scrypt;PoW;0;182000000;N/A;N/A;494;False;
CRBIT;17547;Creditbit ;CRBIT;CRBIT;;Creditbit  (CRBIT);X11;PoW/PoS;0;100000000;N/A;N/A;495;False;
REP;17778;Augur;REP;REP;;Augur (REP);N/A;N/A;1;11000000;N/A;N/A;498;False;
OK;17857;OKCash;OK;OK;;OKCash (OK);N/A;PoW/PoS;0;105000000;N/A;N/A;499;False;
HODL;18670;HOdlcoin;HODL;HODL;;HOdlcoin (HODL);1GB AES Pattern Search;PoW;0;81962100;N/A;N/A;502;False;
EDRC;19051;EDRCoin;EDRC;EDRC;;EDRCoin (EDRC);SHA256;PoW/PoS;0;22000000;N/A;N/A;504;False;
LSK;19745;Lisk;LSK;LSK;;Lisk (LSK);DPoS;DPoS;1;100199025;N/A;N/A;506;False;
WAVES;20131;Waves;WAVES;WAVES;;Waves (WAVES);Leased POS;LPoS;1;100000000;N/A;N/A;507;False;
GAME;20157;Gamecredits;GAME;GAME;;Gamecredits (GAME);Scrypt;PoW;0;84000000;N/A;N/A;509;False;
DSH;20196;Dashcoin;DSH;DSH;;Dashcoin (DSH);CryptoNight;PoW;0;18446744;N/A;N/A;510;False;
DBIC;20198;DubaiCoin;DBIC;DBIC;;DubaiCoin (DBIC);SHA256;PoW/PoS;0;10500000;N/A;N/A;511;False;
SPOTS;20205;Spots;SPOTS;SPOTS;;Spots (SPOTS);N/A;PoW/PoS;0;12730;N/A;N/A;513;False;
PWR;20236;PowerCoin;PWR;PWR;;PowerCoin (PWR);NIST5;PoW/PoS;0;50021000;N/A;N/A;521;False;
TRUMP;20270;TrumpCoin;TRUMP;TRUMP;;TrumpCoin (TRUMP);Blake;PoS;0;12000000;N/A;N/A;522;False;
BCY;20315;BitCrystals;BCY;BCY;;BitCrystals (BCY);Counterparty;N/A;1;100000000;N/A;N/A;524;False;
RBIES;20320;Rubies;RBIES;RBIES;;Rubies (RBIES);N/A;PoS;0;10000000;N/A;N/A;525;False;
STEEM;20333;Steem;STEEM;STEEM;;Steem (STEEM);N/A;Pow;1;99692126;N/A;N/A;526;False;
BLRY;20336;BillaryCoin;BLRY;BLRY;;BillaryCoin (BLRY);Scrypt;Pow/PoS;0;42000000;N/A;N/A;527;False;
DNET;20346;Darknet;DNET;DNET;;Darknet (DNET);Quark;Pow/PoS;0;37175346;N/A;N/A;531;False;
XID*;20387;International Diamond Coin;XID*;XID*;;International Diamond Coin (XID*);N/A;Pow;0;67000010;N/A;N/A;533;False;
POST;20444;PostCoin;POST;POST;;PostCoin (POST);N/A;PoS;0;15081003;N/A;N/A;537;False;
INFX;20446;Influxcoin;INFX;INFX;;Influxcoin (INFX);X11;Pow/PoS;0;12000000;N/A;N/A;538;False;
ETHS;20448;EthereumScrypt;ETHS;ETHS;;EthereumScrypt (ETHS);Scrypt;Pow/PoS;0;4200000;N/A;N/A;539;False;
PXL;20580;Phalanx;PXL;PXL;;Phalanx (PXL);SHA256;PoW;0;15000000;N/A;N/A;540;False;
ION;20591;Ionomy;ION;ION;;Ionomy (ION);N/A;PoS;0;50900000;N/A;N/A;543;False;
TAGR;20652;Think And Get Rich Coin;TAGR;TAGR;;Think And Get Rich Coin (TAGR);X15;PoW/PoS;0;30700000;N/A;N/A;550;False;
ADZ;20656;Adzcoin;ADZ;ADZ;;Adzcoin (ADZ);X11;PoW;0;84000000;N/A;N/A;552;False;
IVZ;20679;InvisibleCoin;IVZ;IVZ;;InvisibleCoin (IVZ);N/A;PoS;0;1000000;N/A;N/A;555;False;
SOIL;20685;SoilCoin;SOIL;SOIL;;SoilCoin (SOIL);Dagger;PoW;0;30000000;N/A;N/A;558;False;
YOC;20691;YoCoin;YOC;YOC;;YoCoin (YOC);Scrypt;PoW;0;4000000;N/A;N/A;560;False;
DBTC;20726;DebitCoin;DBTC;DBTC;;DebitCoin (DBTC);Scrypt;PoW;0;18000000;N/A;N/A;565;False;
AEON;20730;AeonCoin;AEON;AEON;;AeonCoin (AEON);CryptoNight;PoW;0;18400000;N/A;N/A;567;False;
MOIN;20744;MoinCoin;MOIN;MOIN;;MoinCoin (MOIN);N/A;PoW/PoS;0;184000000;N/A;N/A;568;False;
SIB;20745;SibCoin;SIB;SIB;;SibCoin (SIB);X11GOST;PoW;0;24000000;N/A;N/A;569;False;
XRE;20823;RevolverCoin;XRE;XRE;;RevolverCoin (XRE);X11Evo;PoW;0;22000000;N/A;N/A;576;False;
XDB;20826;DragonSphere;XDB;XDB;;DragonSphere (XDB);X11;PoW/PoS;0;21007600;N/A;N/A;579;False;
ANTI;20828;Anti Bitcoin;ANTI;ANTI;;Anti Bitcoin (ANTI);SHA256;PoW;0;42000000;N/A;N/A;580;False;
BRK;20892;BreakoutCoin;BRK;BRK;;BreakoutCoin (BRK);SHA256;PoW/PoS;0;42000000;N/A;N/A;581;False;
MNM;20905;Mineum;MNM;MNM;;Mineum (MNM);X13;PoW/PoS;0;10000000;N/A;N/A;583;False;
ADCN;20907;Asiadigicoin;ADCN;ADCN;;Asiadigicoin (ADCN);Scrypt;PoW;0;42000000;N/A;N/A;584;False;
611;20909;SixEleven;611;611;;SixEleven (611);SHA256;PoW;0;611000;N/A;N/A;586;False;
SWING;20920;SwingCoin;SWING;SWING;;SwingCoin (SWING);SHA256;PoW/PoS;0;40000000;N/A;N/A;589;False;
NEBU;20980;Nebuchadnezzar;NEBU;NEBU;;Nebuchadnezzar (NEBU);PoS;PoS;1;20000000;N/A;N/A;591;False;
AEC;20986;AcesCoin;AEC;AEC;;AcesCoin (AEC);X11;PoS;0;98000000;N/A;N/A;592;False;
