Data__|;Data__|__Id;Data__|__CoinName;Data__|__Name;Data__|__Symbol;;Data__|__FullName;Data__|__Algorithm;Data__|__ProofType;Data__|__FullyPremined;Data__|__TotalCoinSupply;Data__|__PreMinedValue;Data__|__TotalCoinsFreeFloat;Data__|__SortOrder;Data__|__Sponsored;Type
BTE;4401;ByteCoin;BTE;BTE;;ByteCoin (BTE);SHA256;PoW;0;21000000;N/A;N/A;71;False;
BTG*;4402;BitGem;BTG*;BTG*;;BitGem (BTG*);Scrypt;PoW/PoS;0;1500000;N/A;N/A;72;False;
BTM;4403;BitMark;BTM;BTM;;BitMark (BTM);Scrypt;PoW;0;27580000;N/A;N/A;73;False;
BUK;4404;CryptoBuk;BUK;BUK;;CryptoBuk (BUK);Scrypt;PoW/PoS;0;100000000;N/A;N/A;74;False;
CANN;4407;CannabisCoin;CANN;CANN;;CannabisCoin (CANN);X11;PoW;0;106000000;N/A;N/A;76;False;
CAP;4408;BottleCaps;CAP;CAP;;BottleCaps (CAP);Scrypt;PoW/PoS;0;47433600;N/A;N/A;77;False;
CASH;4409;CashCoin;CASH;CASH;;CashCoin (CASH);Scrypt;PoW/PoS;0;47433600;N/A;N/A;78;False;
CBX;4411;CryptoBullion;CBX;CBX;;CryptoBullion (CBX);Scrypt;PoW/PoS;0;1000000;N/A;N/A;80;False;
CCN;4412;CannaCoin;CCN;CCN;;CannaCoin (CCN);Scrypt;PoW;0;13140000;N/A;N/A;81;False;
CIN;4413;CinderCoin;CIN;CIN;;CinderCoin (CIN);Multiple;PoW/PoS;0;114000000;N/A;N/A;82;False;
CINNI;4414;CINNICOIN;CINNI;CINNI;;CINNICOIN (CINNI);Scrypt;PoW;0;15000000;N/A;N/A;83;False;
CXC;4415;CheckCoin;CXC;CXC;;CheckCoin (CXC);N/A;PoS;0;100000000;N/A;N/A;84;False;
CLOAK;4417;CloakCoin;CLOAK;CLOAK;;CloakCoin (CLOAK);X13;PoW/PoS;0;4500000;N/A;N/A;86;False;
CLR;4418;CopperLark;CLR;CLR;;CopperLark (CLR);SHA256;PoW;0;27200000;N/A;N/A;87;False;
CMC;4419;CosmosCoin;CMC;CMC;;CosmosCoin (CMC);Scrypt;PoW/PoS;0;100000000;N/A;N/A;88;False;
CNL;4421;ConcealCoin;CNL;CNL;;ConcealCoin (CNL);X11;PoW;0;8500000;N/A;N/A;90;False;
COOL;4423;CoolCoin;COOL;COOL;;CoolCoin (COOL);Scrypt;PoS;0;100000000;N/A;N/A;92;False;
CRACK;4424;CrackCoin;CRACK;CRACK;;CrackCoin (CRACK);X11;PoW;0;6000000;N/A;N/A;93;False;
CRC;4426;CraftCoin;CRC;CRC;;CraftCoin (CRC);Scrypt;PoW;0;100000000;N/A;N/A;94;False;
CRYPT;4427;CryptCoin;CRYPT;CRYPT;;CryptCoin (CRYPT);X11;PoW;0;18000000;N/A;N/A;95;False;
DMD;4431;Diamond;DMD;DMD;;Diamond (DMD);Groestl;PoW/PoS;0;4380000;N/A;N/A;98;False;
DRKC;4434;DarkCash;DRKC;DRKC;;DarkCash (DRKC);X11;PoW/PoS;0;3720000;N/A;N/A;100;False;
DSB;4435;DarkShibe;DSB;DSB;;DarkShibe (DSB);Scrypt;PoW;0;2043962;N/A;N/A;101;False;
EFL;4438;E-Gulden;EFL;EFL;;E-Gulden (EFL);Scrypt;PoW;0;21000000;N/A;N/A;104;False;
ELC;4439;Elacoin;ELC;ELC;;Elacoin (ELC);Scrypt;PoW;0;75000000;N/A;N/A;105;False;
EXCL;4442;Exclusive Coin;EXCL;EXCL;;Exclusive Coin (EXCL);PoS;PoS;0;4000000;N/A;N/A;108;False;
EXE;4443;ExeCoin;EXE;EXE;;ExeCoin (EXE);Scrypt;PoW;0;21000000;N/A;N/A;109;False;
EZC;4444;EZCoin;EZC;EZC;;EZCoin (EZC);Scrypt;PoW;0;84000000;N/A;N/A;110;False;
FC2;4446;Fuel2Coin;FC2;FC2;;Fuel2Coin (FC2);X11;PoS;0;100000000;N/A;N/A;112;False;
FIBRE;4448;FIBRE;FIBRE;FIBRE;;FIBRE (FIBRE);NIST5;PoW/PoS;0;624000;N/A;N/A;114;False;
FRC;4521;FireRoosterCoin;FRC;FRC;;FireRoosterCoin (FRC);SHA256;PoW;0;2602410;N/A;N/A;115;False;
FLT;4449;FlutterCoin;FLT;FLT;;FlutterCoin (FLT);Scrypt;PoS/PoW/PoT;0;0;N/A;N/A;116;False;
FRK;4522;Franko;FRK;FRK;;Franko (FRK);Scrypt;PoW;0;11235813;N/A;N/A;117;False;
FRAC;4450;FractalCoin;FRAC;FRAC;;FractalCoin (FRAC);X11;PoW;0;1000000;N/A;N/A;118;False;
FST;4523;FastCoin;FST;FST;;FastCoin (FST);Scrypt;PoW;0;165888000;N/A;N/A;119;False;
GLC;4527;GlobalCoin;GLC;GLC;;GlobalCoin (GLC);Scrypt;PoW;0;70000000;N/A;N/A;123;False;
GLD;4528;GoldCoin;GLD;GLD;;GoldCoin (GLD);Scrypt;PoW;0;123423900;N/A;N/A;124;False;
GLYPH;4530;GlyphCoin;GLYPH;GLYPH;;GlyphCoin (GLYPH);X11;PoW/PoS;0;7000000;N/A;N/A;126;False;
GUE;4532;GuerillaCoin;GUE;GUE;;GuerillaCoin (GUE);X11;PoW/PoS;0;19500000;N/A;N/A;128;False;
HAL;4533;Halcyon;HAL;HAL;;Halcyon (HAL);X15;PoW/PoS;0;0;N/A;N/A;129;False;
HBN;4534;HoboNickels;HBN;HBN;;HoboNickels (HBN);Scrypt;PoW/PoS;0;120000000;N/A;N/A;130;False;
HUC;4535;HunterCoin;HUC;HUC;;HunterCoin (HUC);Multiple;PoW;0;42000000;N/A;N/A;131;False;
HVC;4536;HeavyCoin;HVC;HVC;;HeavyCoin (HVC);Multiple;PoW;0;128000000;N/A;N/A;132;False;
HYP;4537;Hyperstake;HYP;HYP;;Hyperstake (HYP);X11;PoW/PoS;0;0;N/A;N/A;133;False;
ICB;4538;IceBergCoin;ICB;ICB;;IceBergCoin (ICB);NIST5;PoW/PoS;0;8750000;N/A;N/A;134;False;
IOC;4540;IOCoin;IOC;IOC;;IOCoin (IOC);X11;PoW/PoS;0;16000000;N/A;N/A;136;False;
IXC;4541;IXcoin;IXC;IXC;;IXcoin (IXC);SHA256;PoW;0;21000000;N/A;N/A;137;False;
JBS;4542;JumBucks Coin;JBS;JBS;;JumBucks Coin (JBS);X11;PoW/PoS;0;3293010;N/A;N/A;138;False;
JKC;4543;JunkCoin;JKC;JKC;;JunkCoin (JKC);Scrypt;PoW;0;107000000;N/A;N/A;139;False;
JUDGE;4544;JudgeCoin;JUDGE;JUDGE;;JudgeCoin (JUDGE);X13;PoW/PoS;0;21600000;N/A;N/A;140;False;
KDC;4545;Klondike Coin;KDC;KDC;;Klondike Coin (KDC);Scrypt;PoW;0;20000000;N/A;N/A;141;False;
KEY;4546;KeyCoin;KEY* (1);KEY;;KeyCoin (KEY* (1));X13;PoW/PoS;0;1000000;N/A;N/A;142;False;
LAB;4548;CoinWorksCoin;LAB;LAB;;CoinWorksCoin (LAB);Multiple;PoW;0;1000000;N/A;N/A;144;False;
LGD*;4549;Legendary Coin;LGD*;LGD*;;Legendary Coin (LGD*);Scrypt;PoW/PoS;0;10000000;N/A;N/A;145;False;
LK7;4550;Lucky7Coin;LK7;LK7;;Lucky7Coin (LK7);Scrypt;PoW/PoS;0;99792000;N/A;N/A;146;False;
LKY;4551;LuckyCoin;LKY;LKY;;LuckyCoin (LKY);Scrypt;PoW;0;20000000;N/A;N/A;147;False;
LSD;4552;LightSpeedCoin;LSD;LSD;;LightSpeedCoin (LSD);NIST5;PoW/PoS;0;900000;N/A;N/A;148;False;
LTB;4553;Litebar ;LTB;LTB;;Litebar  (LTB);Scrypt;PoW;0;1350000;N/A;N/A;149;False;
LTCD;4554;LitecoinDark;LTCD;LTCD;;LitecoinDark (LTCD);Scrypt;PoW;0;82003200;N/A;N/A;150;False;
LTCX;4555;LitecoinX;LTCX;LTCX;;LitecoinX (LTCX);X11;PoW;0;84000000;N/A;N/A;151;False;
LXC;4556;LibrexCoin;LXC;LXC;;LibrexCoin (LXC);X11;PoW/PoS;0;1000000;N/A;N/A;152;False;
MAX;4558;MaxCoin;MAX;MAX;;MaxCoin (MAX);SHA3;PoW/PoS;0;100000000;N/A;N/A;154;False;
MEC;4559;MegaCoin;MEC;MEC;;MegaCoin (MEC);Scrypt;PoW;0;42000000;N/A;N/A;155;False;
MED;4560;MediterraneanCoin;MED;MED;;MediterraneanCoin (MED);HybridScryptHash256;PoW;0;200000000;N/A;N/A;156;False;
MIN;4561;Minerals Coin;MIN;MIN;;Minerals Coin (MIN);X11;PoW/PoS;0;1000000;N/A;N/A;157;False;
MINT;4562;MintCoin;MINT;MINT;;MintCoin (MINT);Scrypt;PoS;0;0;N/A;N/A;158;False;
MN;4563;Cryptsy Mining Contract;MN;MN;;Cryptsy Mining Contract (MN);SHA256;PoW;0;0;N/A;N/A;159;False;
MNC;4564;MinCoin;MNC;MNC;;MinCoin (MNC);Scrypt;PoW;0;10000000;N/A;N/A;160;False;
MRY;4566;MurrayCoin;MRY;MRY;;MurrayCoin (MRY);Scrypt;PoW;0;58000000;N/A;N/A;162;False;
MYST*;4567;MysteryCoin;MYST*;MYST*;;MysteryCoin (MYST*);X11;PoW;0;32433366;N/A;N/A;163;False;
NAN;4569;NanoToken;NAN;NAN;;NanoToken (NAN);Scrypt;PoW;0;80000000;N/A;N/A;165;False;
NAUT;4570;Nautilus Coin;NAUT;NAUT;;Nautilus Coin (NAUT);Scrypt;PoS;0;16180000;N/A;N/A;166;False;
NAV;4571;NavCoin;NAV;NAV;;NavCoin (NAV);X13;PoW/PoS;0;0;N/A;N/A;167;False;
NEC;4573;NeoCoin;NEC;NEC;;NeoCoin (NEC);Scrypt;PoW/PoS;0;80000000;N/A;N/A;169;False;
NMB;4575;Nimbus Coin;NMB;NMB;;Nimbus Coin (NMB);X15;PoW/PoS;0;25000000;N/A;N/A;171;False;
NRB;4576;NoirBits;NRB;NRB;;NoirBits (NRB);SHA256;PoW;0;50000000;N/A;N/A;172;False;
NRS;4578;NoirShares;NRS;NRS;;NoirShares (NRS);Scrypt;PoW/PoS;0;5000000;N/A;N/A;174;False;
NVC;4579;NovaCoin;NVC;NVC;;NovaCoin (NVC);Scrypt;PoW/PoS;0;0;N/A;N/A;175;False;
NMC;4580;NameCoin;NMC;NMC;;NameCoin (NMC);SHA256;PoW;0;21000000;N/A;N/A;176;False;
NYAN;4581;NyanCoin;NYAN;NYAN;;NyanCoin (NYAN);Scrypt;PoW;0;337000;N/A;N/A;177;False;
OPAL;4582;OpalCoin;OPAL;OPAL;;OpalCoin (OPAL);X13;PoW/PoS;0;15000000;N/A;N/A;178;False;
ORB;4583;Orbitcoin;ORB;ORB;;Orbitcoin (ORB);NeoScrypt;PoW/PoS;0;3770000;N/A;N/A;179;False;
OSC;4584;OpenSourceCoin;OSC;OSC;;OpenSourceCoin (OSC);SHA256;PoW/PoS;0;21000000;N/A;N/A;180;False;
PHS;4585;PhilosophersStone;PHS;PHS;;PhilosophersStone (PHS);Scrypt;PoW;0;8891840;N/A;N/A;181;False;
POINTS;4586;Cryptsy Points;POINTS;POINTS;;Cryptsy Points (POINTS);N/A;N/A;0;0;N/A;N/A;182;False;
PSEUD;4588;PseudoCash;PSEUD;PSEUD;;PseudoCash (PSEUD);X13;PoW/PoS;0;2200000;N/A;N/A;184;False;
PTS*;4589;Protoshares;PTS*;PTS*;;Protoshares (PTS*);SHA256;PoW;0;2000000;N/A;N/A;185;False;
PXC;4590;PhoenixCoin;PXC;PXC;;PhoenixCoin (PXC);Scrypt;PoW/PoS;0;98000000;N/A;N/A;186;False;
PYC;4591;PayCoin;PYC;PYC;;PayCoin (PYC);Scrypt;PoW/PoS;0;30000000;N/A;N/A;187;False;
RIPO;4593;RipOffCoin;RIPO;RIPO;;RipOffCoin (RIPO);Scrypt;PoW;0;12000000;N/A;N/A;189;False;
RPC;4594;RonPaulCoin;RPC;RPC;;RonPaulCoin (RPC);Scrypt;PoW;0;21000000;N/A;N/A;190;False;
RT2;4595;RotoCoin;RT2;RT2;;RotoCoin (RT2);Scrypt-n;PoW/PoS;0;288000;N/A;N/A;191;False;
RYC;4596;RoyalCoin;RYC;RYC;;RoyalCoin (RYC);Scrypt;PoW;0;140000000;N/A;N/A;192;False;
RZR;4597;RazorCoin;RZR;RZR;;RazorCoin (RZR);Scrypt;PoW;0;4000000;N/A;N/A;193;False;
SFR;4601;SaffronCoin;SFR;SFR;;SaffronCoin (SFR);Multiple;PoW;0;111000000;N/A;N/A;197;False;
SHADE;4602;ShadeCoin;SHADE;SHADE;;ShadeCoin (SHADE);Scrypt;PoW/PoS;0;2000000;N/A;N/A;198;False;
SHLD;4603;ShieldCoin;SHLD;SHLD;;ShieldCoin (SHLD);X15;PoW/PoS;0;1000000;N/A;N/A;199;False;
SILK;4604;SilkCoin;SILK;SILK;;SilkCoin (SILK);Scrypt;PoW/PoS;0;1000000;N/A;N/A;200;False;
SLG;4605;SterlingCoin;SLG;SLG;;SterlingCoin (SLG);X13;PoS;0;0;N/A;N/A;201;False;
SMC;4606;SmartCoin;SMC;SMC;;SmartCoin (SMC);Scrypt;PoW;0;51200000;N/A;N/A;202;False;
